,actual labels,predicted labels
0,2,2
1,4,4
2,2,2
3,4,4
4,1,1
5,2,1
6,2,2
7,1,2
8,1,1
9,2,1
10,1,1
11,1,1
12,1,1
13,4,4
14,1,1
15,1,1
16,6,4
17,4,4
18,2,2
19,2,2
20,4,4
21,2,2
22,2,2
23,1,2
24,2,1
25,5,2
26,2,2
27,4,4
28,2,2
29,2,2
30,2,1
31,2,1
32,4,4
33,1,1
34,2,2
35,4,4
36,4,4
37,7,1
38,1,1
39,1,1
40,1,1
41,1,2
42,4,4
43,4,4
44,1,2
45,2,2
46,2,1
47,1,1
48,1,2
49,1,1
50,2,1
51,4,4
52,4,4
53,4,4
54,4,4
55,2,2
56,2,2
57,2,2
58,2,2
59,1,1
60,2,1
61,4,4
62,4,4
63,4,4
64,1,1
65,6,2
66,2,2
67,2,2
68,5,2
69,4,4
70,4,4
71,4,4
72,4,4
73,2,2
74,2,2
75,2,1
76,4,4
77,1,1
78,1,1
79,1,2
80,4,4
81,1,2
82,1,1
83,1,1
84,2,1
85,2,2
86,4,4
87,4,4
88,2,1
89,2,2
90,4,4
91,2,2
92,4,4
93,4,4
94,4,4
95,4,4
96,2,2
97,2,2
98,4,4
99,1,1
100,1,2
101,1,1
102,2,2
103,1,1
104,4,4
105,2,2
106,6,4
107,2,2
108,1,1
109,4,4
110,2,2
111,1,2
112,2,1
113,4,4
114,4,4
115,6,3
116,2,2
117,6,1
118,2,1
119,2,2
120,2,7
121,6,6
122,4,4
123,4,4
124,4,4
125,4,4
126,4,4
127,2,2
128,1,1
129,2,1
130,2,2
131,4,4
132,1,1
133,2,2
134,7,7
135,6,3
136,1,2
137,4,4
138,2,2
139,4,4
140,1,2
141,1,1
142,7,1
143,2,2
144,4,4
145,1,2
146,4,4
147,2,1
148,1,1
149,2,1
150,1,2
151,2,2
152,3,2
153,4,4
154,2,1
155,4,4
156,1,2
157,4,4
158,1,1
159,1,2
160,1,1
161,7,2
162,4,4
163,4,4
164,4,4
165,3,2
166,4,4
167,1,2
168,6,3
169,2,2
170,1,1
171,1,2
172,2,1
173,2,2
174,2,2
175,6,3
176,2,2
177,2,2
178,1,2
179,4,4
180,7,1
181,4,4
182,1,1
183,2,2
184,2,2
185,2,1
186,1,2
187,1,1
188,2,2
189,4,4
190,4,4
191,2,2
192,1,1
193,4,4
194,2,1
195,2,2
196,2,2
197,1,1
198,2,2
199,4,4
200,2,2
201,1,2
202,1,1
203,7,2
204,1,7
205,5,1
206,4,4
207,1,2
208,1,1
209,2,1
210,4,4
211,4,4
212,3,2
213,1,1
214,2,1
215,3,4
216,4,4
217,1,1
218,1,1
219,4,4
220,1,2
221,1,1
222,2,2
223,2,2
224,2,2
225,2,2
226,2,1
227,1,1
228,2,1
229,4,4
230,4,4
231,1,2
232,2,2
233,1,1
234,1,2
235,2,2
236,4,4
237,7,1
238,2,1
239,1,1
240,1,1
241,1,1
242,2,2
243,4,4
244,3,2
245,1,1
246,4,4
247,4,4
248,1,1
249,1,2
250,2,2
251,4,4
252,5,2
253,3,3
254,4,4
255,4,4
256,2,1
257,4,4
258,4,4
259,2,2
260,4,4
261,4,4
262,4,4
263,4,4
264,4,4
265,4,4
266,3,2
267,1,1
268,2,2
269,4,4
270,2,2
271,4,4
272,4,4
273,1,1
274,2,2
275,2,2
276,2,2
277,4,4
278,1,1
279,1,1
280,2,2
281,4,4
282,2,1
283,4,4
284,2,2
285,2,1
286,2,2
287,2,3
288,1,2
289,4,4
290,2,1
291,1,2
292,2,1
293,2,2
294,4,4
295,1,1
296,1,2
297,4,4
298,2,2
299,2,1
300,2,2
301,1,2
302,4,4
303,2,1
304,1,1
305,1,1
306,6,4
307,2,2
308,5,2
309,2,1
310,2,2
311,2,1
312,4,4
313,1,1
314,4,4
315,4,4
316,4,4
317,4,4
318,1,1
319,6,4
320,2,2
321,1,1
322,2,1
323,2,2
324,1,1
325,1,2
326,2,2
327,4,4
328,2,3
329,4,4
330,1,1
331,4,4
332,4,4
333,4,4
334,2,2
335,4,4
336,2,2
337,4,4
338,1,1
339,4,4
340,3,3
341,4,4
342,3,2
343,2,1
344,1,2
345,2,2
346,1,1
347,7,1
348,4,4
349,1,2
350,1,2
351,1,1
352,6,2
353,2,2
354,4,4
355,2,2
356,1,2
357,4,4
358,3,2
359,2,1
360,2,2
361,2,1
362,1,2
363,1,1
364,4,4
365,1,2
366,2,2
367,2,2
368,2,1
369,7,1
370,1,1
371,4,4
372,2,2
373,4,4
374,2,2
375,1,1
376,4,4
377,1,1
378,1,2
379,7,1
380,2,2
381,4,4
382,1,1
383,2,2
384,1,1
385,1,1
386,1,2
387,1,1
388,2,2
389,2,1
390,2,1
391,4,4
392,7,1
393,2,2
394,4,4
395,1,2
396,2,2
397,2,1
398,4,4
399,2,1
400,4,4
401,1,2
402,4,4
403,2,2
404,1,1
405,2,2
406,1,1
407,3,3
408,1,2
409,4,4
410,1,1
411,2,2
412,4,4
413,4,4
414,2,2
415,1,1
416,1,2
417,2,2
418,4,4
419,1,2
420,2,2
421,2,1
422,4,4
423,2,1
424,4,4
425,2,1
426,2,2
427,4,4
428,2,2
429,4,4
430,2,2
431,4,4
432,1,2
433,2,2
434,1,2
435,1,2
436,2,2
437,4,4
438,2,2
439,1,1
440,2,2
441,2,2
442,4,4
443,2,2
444,2,2
445,2,2
446,7,1
447,2,1
448,2,1
449,1,2
450,4,4
451,1,2
452,2,2
453,4,4
454,2,2
455,4,4
456,1,1
457,1,2
458,1,2
459,2,2
460,1,2
461,4,4
462,2,1
463,2,1
464,2,2
465,4,4
466,4,4
467,4,4
468,2,2
469,2,2
470,1,2
471,4,4
472,1,1
473,1,1
474,4,4
475,2,1
476,2,2
477,4,4
478,4,4
479,4,4
480,4,4
481,2,2
482,1,1
483,4,4
484,1,1
485,2,1
486,1,1
487,2,2
488,4,4
489,2,2
490,4,4
491,4,4
492,2,2
493,2,7
494,6,2
495,4,4
496,4,4
497,4,4
498,1,1
499,1,1
500,4,4
501,2,2
502,4,4
503,2,2
504,1,2
505,4,4
506,2,2
507,2,1
508,4,4
509,1,1
510,4,4
511,2,1
512,1,2
513,1,1
514,2,2
515,1,1
516,1,1
517,1,2
518,4,4
519,4,4
520,1,1
521,4,4
522,2,1
523,1,1
524,1,2
525,2,2
526,6,2
527,1,1
528,3,2
529,1,1
530,4,4
531,1,2
532,4,4
533,1,2
534,4,4
535,2,1
536,4,4
537,4,4
538,4,4
539,4,4
540,4,4
541,2,2
542,2,1
543,1,1
544,4,4
545,2,1
546,2,2
547,2,1
548,4,4
549,4,4
550,2,2
551,2,1
552,3,2
553,4,4
554,4,4
555,4,4
556,2,1
557,1,2
558,2,2
559,4,4
560,3,4
561,4,4
562,1,7
563,2,1
564,2,1
565,4,4
566,2,2
567,2,2
568,4,4
569,1,2
570,1,1
571,4,4
572,4,4
573,2,1
574,4,4
575,4,4
576,1,2
577,4,4
578,4,4
579,4,4
580,2,2
581,4,4
582,2,1
583,2,1
584,4,4
585,2,2
586,1,1
587,4,4
588,4,4
589,4,4
590,7,7
591,3,4
592,4,4
593,2,2
594,1,2
595,2,2
596,7,1
597,4,4
598,2,2
599,4,4
600,1,1
601,4,4
602,1,2
603,2,2
604,4,4
605,4,4
606,4,4
607,2,1
608,4,4
609,3,2
610,4,4
611,4,4
612,4,4
613,2,2
614,4,4
615,4,4
616,2,2
617,1,1
618,3,2
619,1,2
620,4,4
621,1,1
622,4,4
623,4,4
624,2,2
625,3,2
626,1,2
627,4,4
628,1,1
629,6,2
630,2,3
631,2,1
632,1,1
633,4,4
634,4,4
635,2,2
636,2,2
637,4,4
638,4,4
639,1,2
640,4,4
641,1,7
642,4,4
643,1,2
644,2,1
645,2,2
646,2,2
647,5,2
648,1,1
649,2,1
650,3,2
651,2,2
652,4,4
653,2,1
654,4,4
655,4,4
656,4,4
657,4,4
658,4,4
659,3,4
660,2,1
661,4,4
662,2,2
663,2,2
664,3,3
665,2,7
666,2,1
667,2,2
668,4,4
669,4,4
670,4,4
671,4,4
672,2,1
673,3,4
674,2,2
675,4,4
676,4,4
677,2,2
678,7,7
679,1,1
680,4,4
681,4,4
682,2,2
683,1,1
684,4,4
685,2,1
686,4,4
687,4,4
688,3,2
689,6,4
690,4,4
691,2,2
692,2,2
693,1,1
694,1,2
695,2,2
696,4,4
697,4,4
698,4,4
699,4,4
700,1,2
701,7,1
702,1,1
703,1,1
704,2,3
705,1,2
706,1,1
707,4,4
708,2,2
709,2,1
710,4,4
711,2,2
712,4,4
713,2,2
714,1,1
715,1,2
716,1,1
717,4,4
718,4,4
719,2,2
720,7,2
721,4,4
722,2,1
723,2,2
724,1,1
725,4,4
726,2,1
727,2,1
728,4,4
729,2,2
730,4,4
731,2,2
732,4,4
733,3,2
734,4,4
735,4,4
736,2,2
737,4,4
738,2,2
739,4,4
740,7,1
741,4,4
742,1,2
743,4,4
744,4,4
745,4,4
746,1,1
747,4,4
748,2,2
749,4,4
750,6,3
751,4,4
752,4,4
753,1,1
754,6,4
755,4,4
756,4,4
757,4,4
758,1,2
759,1,2
760,1,7
761,4,4
762,3,2
763,2,2
764,4,4
765,2,2
766,1,1
767,3,4
768,2,1
769,1,2
770,1,1
771,1,1
772,2,2
773,1,1
774,2,2
775,1,2
776,1,2
777,3,3
778,1,1
779,1,1
780,4,4
781,2,2
782,4,4
783,2,2
784,1,2
785,4,4
786,4,4
787,2,1
788,1,1
789,2,2
790,4,4
791,2,2
792,2,1
793,2,2
794,4,4
795,1,1
796,1,2
797,1,1
798,2,2
799,3,4
800,2,1
801,4,4
802,2,2
803,4,4
804,2,2
805,4,4
806,2,1
807,4,4
808,4,4
809,2,3
810,3,2
811,2,2
812,2,2
813,4,4
814,4,4
815,1,1
816,2,2
817,2,2
818,4,4
819,1,2
820,2,1
821,4,4
822,4,4
823,1,2
824,4,4
825,2,2
826,2,1
827,4,4
828,7,1
829,2,6
830,2,2
831,7,1
832,2,2
833,4,4
834,1,2
835,2,2
836,2,2
837,1,2
838,1,1
839,3,4
840,2,1
841,4,4
842,1,2
843,1,1
844,2,2
845,2,1
846,2,2
847,4,4
848,4,4
849,3,2
850,6,2
851,4,4
852,1,2
853,2,2
854,4,4
855,1,1
856,2,2
857,4,4
858,2,2
859,2,2
860,2,2
861,4,4
862,1,1
863,1,2
864,2,2
865,7,1
866,2,1
867,1,1
868,2,2
869,4,4
870,2,2
871,3,6
872,4,4
873,4,4
874,3,4
875,4,4
876,2,2
877,2,2
878,4,4
879,4,4
880,4,4
881,4,4
882,4,4
883,1,1
884,1,2
885,2,1
886,4,4
887,7,1
888,3,2
889,2,2
