,actual labels,predicted labels
0,4,4
1,4,4
2,2,2
3,1,1
4,2,2
5,1,1
6,2,2
7,2,2
8,2,2
9,4,4
10,4,4
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,4,4
17,2,2
18,2,2
19,1,1
20,4,4
21,4,4
22,1,1
23,4,4
24,1,1
25,2,2
26,2,2
27,4,4
28,1,1
29,4,4
30,3,3
31,4,4
32,4,4
33,3,3
34,7,7
35,1,1
36,4,4
37,2,2
38,2,2
39,2,2
40,2,2
41,4,4
42,2,2
43,1,1
44,5,2
45,2,2
46,4,4
47,4,4
48,1,1
49,2,2
50,4,4
51,2,2
52,1,1
53,2,2
54,4,4
55,1,1
56,2,2
57,2,2
58,5,5
59,2,2
60,1,1
61,1,1
62,4,4
63,2,2
64,1,1
65,4,4
66,4,4
67,4,4
68,2,2
69,4,4
70,1,1
71,1,1
72,4,4
73,4,4
74,2,2
75,2,2
76,2,2
77,2,2
78,2,2
79,2,2
80,1,1
81,4,4
82,1,1
83,3,2
84,1,1
85,1,1
86,2,2
87,1,1
88,2,2
89,4,4
90,2,2
91,2,2
92,1,1
93,2,2
94,7,7
95,1,1
96,2,2
97,1,1
98,4,4
99,2,2
100,1,1
101,2,2
102,4,4
103,1,1
104,1,1
105,1,1
106,2,2
107,4,4
108,1,1
109,2,2
110,4,4
111,2,2
112,2,2
113,2,2
114,4,4
115,2,2
116,1,1
117,4,4
118,4,4
119,2,2
120,4,4
121,4,4
122,2,2
123,6,3
124,4,4
125,4,4
126,1,1
127,1,1
128,4,4
129,3,3
130,1,1
131,2,2
132,1,1
133,4,4
134,4,4
135,4,4
136,4,4
137,4,4
138,4,4
139,4,4
140,4,4
141,1,1
142,1,1
143,2,2
144,4,4
145,2,2
146,2,2
147,2,2
148,2,2
149,2,2
150,4,4
151,2,2
152,1,1
153,2,2
154,1,1
155,4,4
156,4,4
157,2,2
158,4,4
159,2,2
160,2,2
161,1,1
162,2,2
163,4,4
164,1,1
165,1,1
166,1,1
167,4,4
168,4,4
169,4,4
170,4,4
171,2,2
172,1,1
173,4,4
174,1,1
175,2,2
176,4,4
177,4,4
178,4,4
179,2,1
180,2,2
181,2,2
182,2,2
183,2,2
184,6,6
185,4,4
186,4,4
187,4,4
188,1,1
189,1,1
190,2,2
191,1,1
192,1,1
193,1,1
194,2,2
195,1,1
196,4,4
197,2,2
198,2,2
199,4,4
200,2,2
201,1,1
202,2,2
203,4,4
204,2,2
205,4,4
206,4,4
207,4,4
208,2,2
209,4,4
210,1,1
211,2,2
212,3,3
213,7,7
214,1,1
215,2,2
216,3,3
217,4,4
218,2,2
219,4,4
220,6,6
221,4,4
222,2,2
223,6,6
224,4,4
225,4,4
226,4,4
227,2,1
228,4,4
229,2,2
230,4,4
231,4,4
232,4,4
233,2,2
234,4,4
235,1,1
236,4,4
237,1,1
238,3,3
239,2,2
240,2,2
241,2,2
242,3,3
243,2,2
244,4,4
245,4,4
246,1,1
247,2,2
248,1,1
249,4,4
250,2,2
251,1,2
252,2,2
253,1,1
254,4,4
255,3,3
256,2,1
257,1,1
258,4,4
259,4,4
260,4,4
261,1,1
262,4,4
263,4,4
264,4,4
265,1,1
266,1,1
267,4,4
268,2,2
269,4,4
270,1,1
271,1,1
272,2,2
273,2,2
274,2,2
275,2,2
276,1,1
277,1,1
278,3,3
279,4,4
280,2,2
281,2,2
282,2,2
283,2,1
284,4,4
285,2,2
286,2,2
287,2,2
288,4,4
289,2,2
290,2,2
291,4,4
292,3,3
293,4,4
294,1,1
295,1,1
296,4,4
297,2,2
298,4,4
299,2,2
300,1,1
301,4,4
302,2,2
303,2,2
304,4,4
305,3,3
306,4,4
307,1,1
308,2,2
309,4,4
310,4,4
311,1,1
312,4,4
313,2,2
314,2,2
315,4,4
316,1,1
317,2,2
318,4,4
319,4,4
320,4,4
321,4,4
322,4,4
323,2,2
324,2,2
325,1,1
326,4,4
327,2,2
328,2,2
329,1,1
330,4,4
331,1,1
332,6,6
333,4,4
334,6,6
335,6,6
336,4,4
337,4,4
338,2,2
339,2,2
340,2,2
341,1,1
342,1,1
343,2,2
344,2,2
345,2,2
346,4,4
347,3,3
348,2,2
349,3,3
350,4,4
351,1,1
352,1,1
353,2,2
354,4,4
355,1,2
356,4,4
357,1,1
358,4,4
359,7,7
360,4,4
361,4,4
362,2,2
363,2,1
364,5,5
365,1,1
366,4,4
367,4,4
368,2,2
369,4,4
370,2,2
371,1,1
372,4,4
373,1,1
374,2,2
375,2,2
376,2,2
377,1,1
378,2,2
379,4,4
380,4,4
381,1,1
382,4,4
383,1,1
384,4,4
385,4,4
386,2,2
387,4,4
388,4,4
389,3,3
390,1,1
391,1,1
392,2,2
393,4,4
394,2,2
395,2,2
396,2,2
397,4,4
398,2,2
399,6,6
400,4,4
401,4,4
402,1,1
403,4,4
404,4,4
405,1,1
406,2,2
407,3,3
408,2,2
409,2,2
410,4,4
411,4,4
412,2,2
413,1,1
414,1,1
415,2,2
416,4,4
417,4,4
418,1,1
419,2,2
420,4,4
421,2,2
422,4,4
423,2,2
424,1,1
425,4,4
426,7,7
427,4,4
428,2,2
429,2,2
430,4,4
431,2,2
432,2,2
433,7,7
434,4,4
435,2,2
436,4,4
437,1,1
438,1,1
439,1,1
440,1,1
441,4,4
442,1,1
443,2,2
444,1,1
445,4,4
446,1,1
447,2,2
448,1,2
449,7,7
450,2,2
451,4,4
452,4,4
453,1,1
454,5,5
455,4,4
456,2,2
457,4,4
458,4,4
459,7,7
460,2,2
461,4,4
462,2,2
463,2,2
464,2,2
465,2,2
466,2,2
467,2,2
468,3,3
469,4,4
470,4,4
471,2,2
472,7,1
473,2,1
474,4,4
475,2,2
476,4,4
477,4,4
478,2,2
479,4,4
480,2,2
481,2,2
482,1,1
483,2,2
484,1,1
485,4,4
486,1,1
487,1,2
488,1,1
489,2,2
490,2,2
491,4,4
492,2,2
493,4,4
494,2,2
495,1,1
496,2,2
497,3,3
498,2,2
499,4,4
500,2,2
501,2,2
502,1,1
503,4,4
504,3,2
505,3,3
506,4,4
507,2,2
508,2,2
509,4,4
510,4,4
511,3,3
512,4,4
513,4,4
514,4,4
515,1,1
516,4,4
517,1,1
518,3,3
519,4,4
520,2,2
521,2,2
522,3,3
523,4,4
524,1,2
525,2,2
526,2,2
527,6,6
528,2,2
529,4,4
530,2,2
531,2,2
532,2,2
533,4,4
534,7,7
535,4,4
536,4,4
537,4,4
538,2,2
539,4,4
540,4,4
541,4,4
542,1,1
543,4,4
544,2,2
545,2,2
546,3,3
547,4,4
548,1,1
549,7,7
550,1,1
551,4,4
552,2,2
553,4,4
554,4,4
555,1,1
556,6,6
557,4,4
558,2,2
559,4,4
560,4,4
561,2,2
562,4,4
563,1,1
564,4,4
565,4,4
566,4,4
567,2,2
568,4,4
569,1,1
570,4,4
571,2,2
572,2,2
573,1,1
574,4,4
575,7,7
576,4,4
577,4,4
578,4,4
579,1,1
580,4,4
581,1,1
582,2,2
583,2,2
584,1,1
585,1,2
