,actual labels,predicted labels
0,1,2
1,4,3
2,2,1
3,3,2
4,6,2
5,7,7
6,7,7
7,1,2
8,2,3
9,2,4
10,4,2
11,2,3
12,6,1
13,2,2
14,1,2
15,1,1
16,7,7
17,2,2
18,2,2
19,2,1
20,4,3
21,2,1
22,7,7
23,7,7
24,1,2
25,7,7
26,7,7
27,7,7
28,4,3
29,5,2
30,7,7
31,2,2
32,2,1
33,1,5
34,7,7
35,3,2
36,2,1
37,1,2
38,3,3
39,2,2
40,7,7
41,2,2
42,1,2
43,1,2
44,7,7
45,2,2
46,7,7
47,7,7
48,7,7
49,7,7
50,3,1
51,2,2
52,1,2
53,1,2
54,7,7
55,5,1
56,2,3
57,1,1
58,3,2
59,7,7
60,2,7
61,6,2
62,5,3
63,6,1
64,7,7
65,3,2
66,5,1
67,7,7
68,6,2
69,4,7
70,3,7
71,1,1
72,2,1
73,2,2
74,5,3
75,7,7
76,2,2
77,1,1
78,7,7
79,3,1
80,2,2
81,3,4
82,1,3
83,2,2
84,2,3
85,3,7
86,7,7
87,4,3
88,7,7
89,2,2
90,1,1
91,3,2
92,4,3
93,7,7
94,7,7
95,1,2
96,2,1
97,2,3
98,2,2
99,7,7
100,6,2
101,7,7
102,2,4
103,1,3
104,7,7
105,1,1
106,4,1
107,4,3
108,3,3
109,2,2
110,2,3
111,2,1
112,3,1
113,2,2
114,3,2
115,7,7
116,1,2
117,7,7
118,2,2
119,2,2
120,4,3
121,7,7
122,4,2
123,7,7
124,2,2
125,2,2
126,7,7
127,3,1
128,7,7
129,2,2
130,2,2
131,3,2
132,7,7
133,3,3
134,2,1
135,7,7
136,4,1
137,2,5
138,1,2
139,2,2
140,2,2
141,1,2
142,2,2
143,2,1
144,7,7
145,7,7
146,7,7
147,3,2
148,1,2
149,1,1
150,1,2
151,2,2
152,4,2
153,1,1
154,7,7
155,2,4
156,3,2
157,2,1
158,4,2
159,3,1
160,2,2
161,2,1
162,3,4
163,1,2
164,2,3
165,2,2
166,1,2
167,1,3
168,2,1
169,7,7
170,2,2
171,1,2
172,2,1
173,2,2
174,4,2
175,2,1
176,7,7
177,3,2
178,7,7
179,3,7
180,7,7
181,1,1
182,5,3
183,3,2
184,2,3
185,7,7
186,1,2
187,3,2
188,3,3
189,1,7
190,1,2
191,1,4
192,7,7
193,3,2
194,1,3
195,7,7
196,3,3
197,1,1
198,7,7
199,7,7
200,2,2
201,2,2
202,1,4
203,7,7
204,7,7
205,7,7
206,7,7
207,3,2
208,1,2
209,4,2
210,2,2
211,2,3
212,1,3
213,3,3
214,1,1
215,2,3
216,7,7
217,7,7
218,2,3
219,7,7
220,7,7
221,2,1
222,7,7
223,3,2
224,2,3
225,1,4
226,2,2
227,3,2
228,2,2
229,2,1
230,2,2
231,3,3
232,1,2
233,1,1
234,3,1
235,4,3
236,4,3
237,3,2
238,7,7
239,2,3
240,3,1
241,2,2
242,7,7
243,7,7
244,3,1
245,1,3
246,2,1
247,1,2
248,2,3
249,7,7
250,1,2
251,3,2
252,3,4
253,7,7
254,4,2
255,2,2
256,3,2
257,7,7
258,2,2
259,4,2
260,2,1
261,2,3
262,6,1
263,1,1
264,2,3
265,3,2
266,2,2
267,2,1
268,1,1
269,3,2
270,2,2
271,4,1
272,2,2
273,3,2
274,2,3
275,4,1
276,2,1
277,7,7
278,2,1
279,3,3
280,4,2
281,7,7
282,2,7
283,1,2
284,2,2
285,1,2
286,6,4
287,4,3
288,2,1
289,7,7
290,3,1
291,7,7
292,1,2
293,2,2
294,3,2
295,4,2
296,3,1
297,7,7
298,3,2
299,1,2
300,3,2
301,7,7
302,3,2
303,7,7
304,2,1
305,4,3
306,3,1
307,2,1
308,1,2
309,1,1
310,3,1
311,2,2
312,7,7
313,3,1
314,7,7
315,2,3
316,2,2
317,5,3
318,1,1
319,4,2
320,7,7
321,4,1
322,2,2
323,2,3
324,4,2
325,7,7
326,1,1
327,2,7
328,1,2
329,7,7
330,7,7
331,2,2
332,3,2
333,7,7
334,7,7
335,7,7
336,4,2
337,2,1
338,3,2
339,4,2
340,7,7
341,2,2
342,2,2
343,1,3
344,4,2
345,3,2
346,7,7
347,2,7
348,1,7
349,3,7
350,4,2
351,2,4
352,4,3
353,1,2
354,7,7
355,2,3
356,2,2
357,3,1
358,4,3
359,2,2
360,7,7
361,4,2
362,3,1
363,3,2
364,2,2
365,1,1
366,1,2
367,1,2
368,1,2
369,1,2
370,1,1
371,3,2
372,2,7
373,1,1
374,7,7
375,3,1
376,2,7
377,3,2
378,2,2
379,3,2
380,1,3
381,7,7
382,1,1
383,1,2
384,1,3
385,7,7
386,1,2
387,3,2
388,2,1
389,7,7
390,7,7
391,3,2
392,7,7
393,5,4
394,3,2
395,7,7
396,7,7
397,7,7
398,2,1
399,5,2
400,2,1
401,7,7
402,4,2
403,7,7
404,7,7
405,1,2
406,4,1
407,7,7
408,4,2
409,7,7
410,2,3
411,6,3
412,2,2
413,2,3
414,2,1
415,1,2
416,3,2
417,7,7
418,3,7
419,7,7
420,7,7
421,2,2
422,1,3
423,1,2
424,3,1
425,4,2
426,6,1
427,1,2
428,3,3
429,7,7
430,2,2
431,1,1
432,2,1
433,1,1
434,2,3
435,7,7
436,7,7
437,7,7
438,3,4
439,7,7
440,2,2
441,1,4
442,7,7
443,7,3
444,1,2
445,4,7
446,2,1
447,3,2
448,7,7
449,3,1
450,1,1
451,2,1
452,5,1
453,5,1
454,3,2
455,7,7
456,3,3
457,2,2
458,1,1
459,1,1
460,7,7
461,2,1
462,5,1
463,2,2
464,4,2
465,1,1
466,7,7
467,3,2
468,7,7
469,7,7
470,7,7
471,2,3
472,3,1
473,2,2
474,7,7
475,3,2
476,7,7
477,2,1
478,7,7
479,7,7
480,7,7
481,3,1
482,2,1
483,2,2
484,3,3
485,3,1
486,7,7
487,7,7
488,7,7
489,4,2
490,2,1
491,1,2
492,2,1
493,7,7
494,2,1
495,2,2
496,2,1
497,2,2
498,3,2
499,7,7
500,2,2
501,2,2
502,2,2
503,2,2
504,2,3
505,4,2
506,2,2
507,1,3
508,5,1
509,7,7
510,7,7
511,7,7
512,7,7
513,7,7
514,3,2
515,1,1
516,4,2
517,2,1
518,2,1
519,1,1
520,7,7
521,4,1
522,3,2
523,1,2
524,2,1
525,2,2
526,7,7
527,2,2
528,7,7
529,4,3
530,7,7
531,2,2
532,1,1
533,1,1
534,2,2
535,7,7
536,3,2
537,2,7
538,1,2
539,2,2
540,3,2
541,7,7
542,1,2
543,7,7
544,1,2
545,3,2
546,3,2
547,2,2
548,2,1
549,7,7
550,2,2
551,2,2
552,1,2
553,7,7
554,3,1
555,7,7
556,2,1
557,2,1
558,7,7
559,2,4
560,1,2
561,2,2
562,3,4
563,7,7
564,3,7
565,5,1
566,2,4
567,2,2
568,7,7
569,1,1
570,1,1
571,7,7
572,3,2
573,7,7
574,7,7
575,7,7
576,7,7
577,2,2
578,7,7
579,7,7
580,7,7
581,2,2
582,2,2
583,1,2
584,2,2
585,3,1
586,4,1
587,1,2
588,3,2
589,1,1
590,2,1
591,7,7
592,1,2
593,3,1
594,1,4
595,7,7
596,7,7
597,1,1
598,1,2
599,2,2
600,4,2
601,7,7
602,5,2
603,2,2
604,7,7
605,3,2
606,1,2
607,2,1
608,2,2
609,2,3
610,2,3
611,3,2
612,3,1
613,7,7
614,2,1
615,3,2
616,1,2
617,2,3
618,2,7
619,2,2
620,2,3
621,2,2
622,7,7
623,7,7
624,1,2
625,2,1
626,3,2
627,7,7
628,1,1
629,3,2
630,1,2
631,7,7
632,1,2
633,1,1
634,3,1
635,1,2
636,3,7
637,7,7
638,1,1
639,7,7
640,3,1
641,7,7
642,7,7
643,7,7
644,2,1
645,7,7
646,3,2
647,7,7
648,1,2
649,2,1
650,3,1
651,4,2
652,3,3
653,2,4
654,3,3
655,4,2
656,1,2
657,2,2
658,7,7
659,7,7
660,7,7
661,4,2
662,2,3
663,3,2
664,7,7
665,2,2
666,7,7
667,7,7
668,2,1
669,2,3
670,2,2
671,1,1
672,2,3
673,7,7
674,2,2
675,4,3
676,4,2
677,2,1
678,2,7
679,3,2
680,3,3
681,7,7
682,2,2
683,2,3
684,1,1
685,7,7
686,2,1
687,1,1
688,2,2
689,2,2
690,7,7
691,7,7
692,2,2
693,7,7
694,3,2
695,7,7
696,2,1
697,7,7
698,2,3
699,7,7
700,5,2
701,7,7
702,1,1
703,1,1
704,7,7
705,1,2
706,5,7
707,2,2
708,2,3
709,7,7
710,2,2
711,6,4
712,7,7
713,3,1
714,1,2
715,2,2
716,2,2
717,2,3
718,1,2
719,1,1
720,1,2
721,2,3
722,2,2
723,2,3
724,7,7
725,1,1
726,2,1
727,3,2
728,7,7
729,3,2
730,3,2
731,7,7
732,1,3
733,7,7
734,2,2
735,7,7
736,5,7
737,2,1
738,2,3
739,7,7
740,7,7
741,2,1
742,2,2
743,7,7
744,1,1
745,2,1
746,2,1
747,4,1
748,2,7
749,1,2
750,7,7
751,3,3
752,3,2
753,1,1
754,4,2
755,2,2
756,7,7
757,7,7
758,7,7
759,7,7
760,2,2
761,7,7
762,1,1
763,3,3
764,2,2
765,2,2
766,2,2
767,5,7
768,2,2
769,2,2
770,2,4
771,3,4
772,3,1
773,4,2
774,2,1
775,3,2
776,3,2
777,3,1
778,2,2
779,3,2
780,1,1
781,7,7
782,3,2
783,3,2
784,1,2
