,actual labels,predicted labels
0,1,2
1,4,2
2,3,2
3,2,3
4,3,2
5,7,7
6,7,7
7,3,2
8,1,3
9,3,3
10,4,2
11,1,2
12,1,2
13,2,2
14,3,3
15,2,1
16,7,7
17,3,1
18,4,2
19,2,2
20,2,2
21,2,2
22,7,7
23,7,7
24,1,2
25,7,7
26,7,7
27,7,7
28,2,1
29,4,2
30,7,7
31,1,2
32,4,2
33,3,2
34,7,7
35,1,2
36,2,2
37,2,2
38,4,2
39,2,2
40,7,7
41,1,2
42,2,1
43,3,3
44,7,7
45,1,2
46,7,7
47,7,7
48,7,7
49,7,7
50,1,1
51,2,2
52,1,1
53,3,2
54,7,7
55,2,2
56,4,3
57,2,2
58,2,2
59,7,7
60,1,2
61,3,2
62,5,2
63,2,2
64,7,7
65,3,2
66,2,3
67,7,7
68,5,2
69,2,2
70,1,2
71,3,2
72,6,2
73,2,3
74,3,2
75,7,7
76,1,2
77,3,3
78,7,7
79,5,3
80,5,2
81,3,2
82,1,1
83,3,2
84,3,2
85,2,3
86,7,7
87,1,2
88,7,7
89,2,2
90,2,2
91,2,2
92,1,2
93,7,7
94,7,7
95,1,2
96,4,2
97,2,2
98,5,2
99,7,7
100,3,1
101,7,7
102,4,3
103,4,2
104,7,7
105,5,2
106,4,2
107,1,2
108,3,2
109,2,2
110,2,2
111,3,1
112,4,7
113,2,2
114,2,2
115,7,7
116,3,2
117,7,7
118,1,1
119,3,2
120,3,2
121,7,7
122,3,2
123,7,7
124,2,2
125,3,1
126,7,7
127,3,2
128,7,7
129,3,2
130,1,2
131,3,2
132,7,7
133,2,2
134,2,2
135,7,7
136,2,2
137,4,3
138,2,2
139,2,2
140,2,2
141,5,2
142,2,2
143,1,2
144,7,7
145,7,7
146,7,7
147,4,2
148,5,2
149,3,1
150,2,2
151,3,2
152,3,2
153,2,2
154,7,7
155,1,2
156,4,2
157,5,2
158,1,2
159,3,2
160,3,2
161,2,2
162,3,2
163,2,2
164,2,2
165,3,2
166,3,2
167,5,2
168,3,2
169,7,7
170,2,2
171,2,2
172,3,3
173,2,2
174,2,1
175,2,2
176,7,7
177,1,2
178,7,7
179,2,3
180,7,7
181,3,2
182,2,2
183,3,3
184,3,2
185,7,7
186,5,3
187,3,2
188,4,2
189,1,2
190,2,2
191,2,2
192,7,7
193,3,1
194,2,3
195,7,7
196,2,4
197,2,1
198,7,7
199,7,7
200,2,2
201,2,1
202,4,2
203,7,7
204,7,7
205,7,7
206,7,7
207,1,3
208,3,2
209,3,2
210,1,2
211,3,3
212,1,2
213,4,3
214,3,2
215,2,2
216,7,7
217,7,7
218,1,2
219,7,7
220,7,7
221,3,2
222,7,7
223,2,2
224,3,2
225,3,3
226,5,2
227,2,2
228,2,2
229,2,2
230,4,3
231,3,2
232,2,2
233,1,2
234,1,2
235,3,2
236,4,2
237,4,2
238,7,7
239,1,2
240,5,2
241,2,2
242,7,7
243,7,7
244,3,2
245,1,3
246,1,2
247,2,2
248,3,2
249,7,7
250,1,1
251,2,2
252,2,2
253,7,7
254,2,2
255,2,7
256,4,2
257,7,7
258,3,2
259,3,2
260,1,2
261,2,2
262,2,2
263,2,2
264,1,2
265,2,2
266,4,3
267,5,2
268,1,2
269,3,2
270,1,2
271,5,2
272,2,1
273,3,2
274,4,2
275,1,1
276,2,2
277,7,7
278,2,2
279,1,1
280,5,2
281,7,7
282,2,2
283,3,2
284,3,2
285,4,2
286,2,3
287,2,2
288,3,2
289,7,7
290,1,2
291,7,7
292,2,7
293,3,1
294,4,2
295,2,2
296,3,2
297,7,7
298,2,1
299,3,2
300,3,2
301,7,7
302,1,2
303,7,7
304,2,3
305,1,3
306,3,2
307,4,3
308,2,1
309,2,7
310,2,2
311,1,2
312,7,7
313,2,1
314,7,7
315,3,3
316,1,2
317,2,2
318,3,2
319,2,2
320,7,7
321,2,3
322,2,2
323,2,2
324,2,2
325,7,7
326,1,2
327,2,2
328,3,2
329,7,7
330,7,7
331,5,2
332,1,1
333,7,7
334,7,7
335,7,7
336,2,2
337,2,2
338,3,2
339,1,2
340,7,7
341,3,1
342,2,1
343,3,1
344,2,2
345,2,2
346,7,7
347,2,2
348,4,3
349,2,2
350,2,2
351,2,3
352,4,3
353,3,3
354,7,7
355,2,1
356,3,2
357,2,2
358,2,2
359,1,2
360,7,7
361,3,2
362,1,2
363,2,4
364,3,2
365,3,7
366,2,1
367,3,1
368,3,3
369,2,3
370,4,3
371,1,2
372,3,2
373,1,2
374,7,7
375,3,2
376,2,3
377,2,2
