,actual labels,predicted labels
0,2,2
1,4,4
2,2,2
3,1,2
4,1,1
5,4,4
6,2,2
7,4,4
8,2,2
9,2,2
10,6,3
11,2,2
12,2,2
13,1,1
14,1,1
15,2,2
16,7,7
17,2,2
18,1,2
19,4,4
20,2,1
21,4,4
22,2,2
23,4,4
24,1,2
25,2,2
26,1,1
27,2,2
28,2,2
29,1,1
30,1,1
31,1,1
32,2,2
33,1,1
34,2,3
35,2,2
36,1,1
37,1,1
38,6,3
39,4,4
40,7,1
41,4,4
42,4,4
43,4,4
44,1,1
45,4,4
46,1,1
47,7,7
48,7,1
49,1,1
50,1,1
51,4,4
52,1,1
53,4,4
54,2,2
55,2,2
56,1,1
57,6,6
58,2,2
59,2,2
60,4,4
61,3,3
62,2,2
63,4,4
64,4,4
65,2,2
66,4,4
67,4,4
68,1,1
69,2,2
70,2,1
71,4,4
72,3,4
73,4,4
74,1,1
75,2,2
76,2,2
77,4,4
78,4,4
79,4,4
80,2,1
81,1,1
82,1,1
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,2,2
89,2,1
90,3,3
91,2,2
92,4,4
93,1,1
94,4,4
95,1,1
96,1,1
97,2,2
98,1,1
99,2,2
100,4,4
101,1,2
102,3,3
103,2,2
104,1,1
105,4,4
106,4,4
107,2,2
108,1,1
109,1,1
110,2,2
111,3,6
112,1,1
113,4,4
114,4,4
115,2,2
116,4,4
117,2,2
118,4,4
119,1,2
120,1,1
121,2,2
122,1,2
123,4,4
124,2,2
125,4,4
126,2,2
127,2,2
128,2,2
129,4,4
130,4,4
131,2,2
132,4,4
133,2,2
134,4,4
135,4,4
136,4,4
137,2,2
138,2,2
139,4,4
140,2,2
141,1,1
142,1,1
143,2,1
144,1,1
145,2,1
146,1,1
147,2,2
148,4,4
149,4,4
150,1,1
151,2,2
152,4,4
153,2,6
154,2,2
155,2,2
156,4,4
157,4,4
158,1,1
159,2,2
160,4,4
161,4,4
162,7,7
163,4,4
164,1,1
165,2,2
166,3,3
167,1,2
168,2,2
169,2,2
170,4,4
171,4,4
172,4,4
173,4,4
174,2,2
175,4,4
176,2,2
177,1,1
178,3,2
179,2,2
180,2,2
181,4,4
182,1,1
183,3,3
184,4,4
185,7,2
186,2,2
187,4,4
188,1,1
189,2,2
190,4,4
191,2,2
192,4,4
193,4,4
194,2,2
195,4,4
196,4,4
197,4,4
198,2,1
199,2,2
200,4,4
201,4,4
202,2,2
203,1,1
204,1,2
205,3,3
206,1,1
207,4,4
208,4,4
209,1,1
210,4,4
211,1,2
212,4,4
213,4,4
214,4,4
215,2,2
216,4,4
217,2,2
218,1,1
219,2,2
220,1,1
221,4,4
222,4,4
223,4,4
224,4,4
225,5,5
226,4,4
227,2,2
228,1,1
229,1,2
230,2,2
231,4,4
232,2,2
233,1,1
234,4,4
235,1,1
236,2,2
237,2,2
238,2,2
239,4,4
240,2,2
241,2,2
242,1,1
243,4,4
244,4,4
245,1,2
246,1,1
247,4,4
248,4,4
249,1,1
250,2,2
251,3,3
252,4,4
253,1,1
254,1,1
255,5,5
256,1,1
257,4,4
258,4,4
259,1,1
260,2,2
261,2,1
262,2,2
263,1,1
264,7,1
265,4,4
266,1,1
267,4,4
268,4,4
269,5,2
270,1,1
271,4,4
272,2,2
273,7,7
274,1,1
275,4,4
276,2,2
277,2,2
278,5,2
279,2,2
280,2,2
281,2,2
282,2,2
283,4,4
284,1,1
285,4,4
286,2,2
287,4,4
288,2,1
289,4,4
290,4,4
291,1,2
292,2,2
293,2,2
294,4,4
295,1,1
296,4,4
297,1,2
298,1,2
299,4,4
300,4,4
301,2,2
302,2,2
303,2,2
304,4,4
305,4,4
306,1,2
307,2,2
308,2,2
309,4,4
310,3,3
311,1,2
312,1,1
313,1,1
314,1,1
315,1,1
316,1,2
317,4,4
318,2,2
319,2,2
320,2,2
321,4,4
322,6,6
323,1,1
324,2,2
325,4,4
326,1,1
327,4,4
328,2,2
329,2,2
330,2,2
331,2,2
332,4,4
333,1,1
334,1,1
335,2,2
336,1,7
337,3,2
338,1,1
339,4,4
340,1,1
341,2,2
342,1,1
343,4,4
344,2,2
345,4,4
346,1,1
347,1,2
348,2,2
349,1,2
350,4,4
351,2,2
352,2,2
353,4,4
354,4,4
355,1,2
356,6,6
357,4,4
358,1,1
359,2,2
360,1,1
361,2,2
362,2,1
363,3,3
364,2,2
365,1,2
366,2,2
367,4,4
368,4,4
369,4,4
370,1,1
371,4,4
372,2,2
373,1,7
374,1,1
375,4,4
376,7,7
377,2,2
378,2,2
379,4,4
380,6,3
381,3,6
382,2,1
383,4,4
384,4,4
385,1,1
386,1,1
387,4,4
388,4,4
389,4,4
390,2,2
391,2,2
392,3,2
393,2,2
394,2,2
395,4,4
396,1,1
397,3,3
398,2,2
399,2,2
400,2,2
401,4,4
402,2,2
403,4,4
404,4,4
405,2,2
406,2,1
407,4,4
408,2,2
409,4,4
410,2,2
411,2,2
412,4,4
413,2,2
414,4,4
415,4,4
416,1,1
417,4,4
418,1,1
419,2,2
420,5,5
421,2,2
422,1,1
423,2,2
424,2,2
425,4,4
426,1,2
427,1,1
428,4,4
429,2,2
430,1,1
431,1,1
432,2,2
433,2,2
434,4,4
435,2,2
436,2,2
437,2,2
438,2,2
439,1,1
440,2,2
441,4,4
442,1,1
443,4,4
444,7,7
445,2,2
446,4,4
447,4,4
448,2,2
449,4,4
450,1,1
451,1,1
452,2,2
453,2,2
454,1,1
455,4,4
456,4,4
457,4,4
458,2,2
459,4,4
460,1,1
461,4,4
462,2,2
463,2,2
464,1,1
465,1,1
466,2,2
467,4,4
468,1,1
469,2,2
470,1,1
471,1,1
472,4,4
473,4,4
474,4,4
475,4,4
476,4,4
477,1,1
478,4,4
479,2,2
480,4,4
481,1,1
482,2,1
483,1,1
484,2,2
485,4,4
486,1,1
487,1,1
488,4,4
489,4,4
490,4,4
491,1,1
492,3,3
493,2,1
494,2,2
495,2,2
496,1,1
497,4,4
498,1,1
499,2,2
500,2,2
501,2,2
502,1,1
503,4,4
504,1,1
505,2,2
506,1,1
507,1,1
508,4,4
509,2,1
510,2,2
511,1,1
512,1,1
513,1,1
514,4,4
515,1,1
516,4,4
517,4,4
518,2,2
519,4,4
520,2,2
521,7,1
522,2,2
523,2,1
524,4,4
525,2,2
526,4,4
527,2,2
528,2,2
529,3,3
530,2,1
531,4,4
532,1,1
533,1,2
534,2,2
535,1,1
536,2,2
537,2,2
538,4,4
539,4,4
540,2,1
541,4,4
542,2,2
543,4,4
544,1,1
545,2,2
546,4,4
547,4,4
548,4,4
549,1,1
550,1,1
551,1,2
552,2,2
553,4,4
554,2,1
555,6,6
556,1,1
557,4,4
558,1,1
559,4,4
560,1,1
561,2,2
562,4,4
563,4,4
564,1,2
565,4,4
566,4,4
567,2,3
568,1,1
569,1,1
570,4,4
571,4,4
572,1,1
573,2,2
574,2,2
575,4,4
576,1,2
577,4,4
578,4,4
579,1,1
580,4,4
581,1,2
582,1,1
583,4,4
584,2,2
585,4,4
586,2,2
587,2,2
588,4,4
589,3,3
590,4,4
591,2,2
592,2,2
593,2,2
594,1,1
595,4,6
596,4,4
597,4,4
598,6,6
599,4,4
600,2,2
601,4,4
602,1,1
603,4,4
604,1,2
605,4,4
606,4,4
607,4,4
608,1,1
609,1,1
610,4,4
611,2,2
612,2,2
613,1,1
614,1,1
615,3,6
616,1,2
617,6,6
618,2,2
619,4,4
620,1,2
621,1,1
622,4,4
623,2,2
624,4,4
625,5,5
626,2,2
627,1,1
628,4,4
629,2,2
630,4,4
631,1,1
632,2,2
633,2,2
634,2,2
635,1,1
636,2,1
637,1,1
638,4,4
639,2,2
640,2,2
641,4,4
642,2,2
643,4,4
644,1,1
645,1,2
646,2,2
647,2,2
648,4,4
649,4,4
650,5,3
651,4,4
652,1,1
653,1,2
654,2,2
655,4,4
656,3,3
657,4,4
658,4,4
659,2,2
660,1,1
661,2,2
662,4,4
663,4,4
664,4,4
665,6,6
666,1,1
667,4,4
668,4,4
669,1,1
670,4,4
671,4,4
672,1,1
673,2,2
674,1,1
675,2,2
676,4,4
677,4,4
678,1,1
679,1,1
680,1,1
681,2,2
682,1,1
683,4,4
684,2,2
685,2,2
686,4,4
687,3,3
688,4,4
689,2,2
690,2,1
691,2,2
692,2,1
693,1,1
694,3,3
695,4,4
696,2,2
697,2,2
698,1,1
699,4,4
700,2,2
701,4,4
702,1,2
703,4,4
704,1,1
705,7,7
706,1,1
707,2,2
708,1,1
709,1,1
710,4,4
711,4,4
712,2,2
713,1,1
714,2,2
715,4,4
716,4,4
717,1,1
718,2,2
719,4,4
720,1,1
721,4,4
722,1,1
723,1,2
724,2,2
725,5,5
726,4,4
727,1,7
728,1,1
729,1,1
730,2,2
731,2,2
732,2,2
733,2,1
734,2,2
735,1,2
736,1,1
737,4,4
738,1,1
739,4,4
740,2,2
741,3,3
742,4,4
743,1,2
744,4,4
745,2,1
746,2,2
747,4,4
748,1,2
749,1,1
750,1,1
751,1,1
752,2,2
753,1,1
754,2,2
755,4,4
756,3,3
757,1,1
758,2,2
759,1,1
760,2,2
761,2,2
762,4,4
763,1,1
764,4,4
765,4,4
766,4,4
767,4,4
768,7,1
769,4,4
770,2,2
771,3,3
772,2,2
773,3,3
774,1,1
775,4,4
776,2,2
777,2,2
778,4,4
779,2,1
780,4,4
781,1,1
782,2,2
783,2,2
784,4,4
785,4,4
786,4,4
787,3,3
788,2,2
789,4,4
790,2,2
791,4,4
792,2,2
793,4,4
794,2,2
795,2,2
796,1,1
797,2,2
798,2,2
799,1,1
800,2,1
801,2,1
802,4,4
803,4,4
804,2,2
805,2,2
806,1,1
807,2,1
808,4,4
809,3,3
810,3,3
811,1,2
812,2,2
813,6,4
814,1,1
815,1,1
816,4,4
817,1,1
818,2,2
819,4,4
820,2,2
821,2,2
822,1,1
823,2,2
824,4,4
825,2,2
826,2,2
827,4,4
828,7,7
829,4,4
830,1,1
831,1,1
832,3,3
833,4,4
834,1,1
835,2,2
836,4,4
837,2,2
838,7,7
839,2,2
840,2,2
841,1,1
842,1,1
843,4,4
844,2,2
845,4,4
846,1,1
847,4,4
848,4,4
849,1,1
850,2,5
851,1,1
852,2,1
853,4,4
854,4,4
855,1,1
856,1,1
857,2,2
858,2,2
859,1,1
860,4,4
861,2,2
862,4,4
863,2,2
864,2,2
865,4,4
866,2,2
867,4,4
868,2,2
869,2,1
870,2,2
871,3,6
872,4,4
873,1,2
874,7,7
875,4,4
876,3,3
877,4,4
878,2,2
879,1,1
880,4,4
881,1,1
882,1,1
883,4,4
884,4,4
885,2,2
886,2,2
887,1,1
888,1,1
889,1,1
