,actual labels,predicted labels
0,3,3
1,4,4
2,1,1
3,2,2
4,2,2
5,4,4
6,2,1
7,4,4
8,2,1
9,2,1
10,2,2
11,1,1
12,2,2
13,1,1
14,1,1
15,2,2
16,1,2
17,2,2
18,2,2
19,4,4
20,2,2
21,4,4
22,2,2
23,4,4
24,2,2
25,2,2
26,2,2
27,1,1
28,1,1
29,1,1
30,2,2
31,2,1
32,1,1
33,1,1
34,2,2
35,2,2
36,1,1
37,3,3
38,2,2
39,4,4
40,2,2
41,4,4
42,4,4
43,4,4
44,1,1
45,4,4
46,2,2
47,1,1
48,1,1
49,1,1
50,1,1
51,4,4
52,2,2
53,4,4
54,1,2
55,2,2
56,1,1
57,1,1
58,2,2
59,2,2
60,4,4
61,1,2
62,2,2
63,4,4
64,4,4
65,1,1
66,4,4
67,4,4
68,1,1
69,2,2
70,1,1
71,4,4
72,1,1
73,4,4
74,1,2
75,2,2
76,2,2
77,4,4
78,4,4
79,4,4
80,2,2
81,2,2
82,1,1
83,1,2
84,2,2
85,1,1
86,1,1
87,1,1
88,1,2
89,2,2
90,3,3
91,6,2
92,4,4
93,2,2
94,4,4
95,1,1
96,2,2
97,2,2
98,2,2
99,2,2
100,4,4
101,1,1
102,2,2
103,4,4
104,1,1
105,4,4
106,4,4
107,2,2
108,7,7
109,1,2
110,2,1
111,1,1
112,2,1
113,4,4
114,4,4
115,2,2
116,4,4
117,2,2
118,4,4
119,2,2
120,2,2
121,2,1
122,2,1
123,4,4
124,2,2
125,4,4
126,2,2
127,3,3
128,1,1
129,4,4
130,4,4
131,2,2
132,4,4
133,1,1
134,4,4
135,4,4
136,4,4
137,2,2
138,6,6
139,4,4
140,2,2
141,6,3
142,2,2
143,2,1
144,2,2
145,2,2
146,2,2
147,1,1
148,4,4
149,4,4
150,2,2
151,1,1
152,4,4
153,1,1
154,2,2
155,1,2
156,4,4
157,4,4
158,1,1
159,2,2
160,4,4
161,4,4
162,1,1
163,4,4
164,2,1
165,2,2
166,1,1
167,2,2
168,3,3
169,2,2
170,4,4
171,4,4
172,4,4
173,4,4
174,2,2
175,4,4
176,7,7
177,2,2
178,1,1
179,3,3
180,2,2
181,4,4
182,7,7
183,2,2
184,4,4
185,2,2
186,2,2
187,4,4
188,2,2
189,6,2
190,4,4
191,6,6
192,4,4
193,4,4
194,1,1
195,4,4
196,4,4
197,4,4
198,1,1
199,2,2
200,4,4
201,4,4
202,1,2
203,2,2
204,1,1
205,2,2
206,2,1
207,4,4
208,4,4
209,2,2
210,4,4
211,2,2
212,4,4
213,4,4
214,4,4
215,2,2
216,4,4
217,3,3
218,1,2
219,1,1
220,2,2
221,4,4
222,4,4
223,4,4
224,4,4
225,7,2
226,4,4
227,1,1
228,1,1
